"TXNAME","GENEIND"
"AT1G06820_P1","AT1G06820"
"AT1G06840_JC3","AT1G06840"
"AT1G06830_P1","AT1G06830"
"AT1G06840_P1","AT1G06840"
"AT1G06850.1","AT1G06850"
"AT1G06850_ID1","AT1G06850"
"AT1G06850_ID4","AT1G06850"
"AT1G06860.1","AT1G06860"
"AT1G06870_P1","AT1G06870"
"AT1G06870_JS1","AT1G06870"
"AT1G06870_JS3","AT1G06870"
"AT1G06880.1","AT1G06880"
"AT1G06890_P4","AT1G06890"
"AT1G06890_P1","AT1G06890"
"AT1G06890_P3","AT1G06890"
"AT1G06890_c1","AT1G06890"
"AT1G06890_JC5","AT1G06890"
"AT1G06890_P2","AT1G06890"
"AT1G06890_ID3","AT1G06890"
"AT1G06890_ID6","AT1G06890"
"AT1G06890_ID7","AT1G06890"
"AT1G06900_P1","AT1G06900"
"AT1G06910_ID2","AT1G06910"
"AT1G06910_P1","AT1G06910"
"AT1G06920_P1","AT1G06920"
"AT1G06923_P1","AT1G06923"
"AT1G06925.1","AT1G06925"
"AT1G06930.1","AT1G06930"
"AT1G06950_P1","AT1G06950"
"AT1G06950_ID10","AT1G06950"
"AT1G06950_ID12","AT1G06950"
"AT1G06950_ID9","AT1G06950"
"AT1G06960_P3","AT1G06960"
"AT1G06960_P4","AT1G06960"
"AT1G06960_P1","AT1G06960"
"AT1G06960_P2","AT1G06960"
"AT1G06960_s1","AT1G06960"
"AT1G06960.2","AT1G06960"
"AT1G06960_c1","AT1G06960"
"AT1G06960_JS8","AT1G06960"
"AT1G06960_P5","AT1G06960"
"AT1G06960_P6","AT1G06960"
"AT1G06960_s2","AT1G06960"
"AT1G06970_P1","AT1G06970"
"AT1G06980_P1","AT1G06980"
"AT1G06990_P1","AT1G06990"
"AT1G07000_P1","AT1G07000"
"AT1G07010_P1","AT1G07010"
"AT1G07010.2","AT1G07010"
"AT1G07010_ID1","AT1G07010"
"AT1G07010.3","AT1G07010"
"AT1G07020_ID1","AT1G07020"
"AT1G07020_ID2","AT1G07020"
"AT1G07020_P1","AT1G07020"
"AT1G07025.1","AT1G07025"
"AT1G07030_P1","AT1G07030"
"AT1G07040_P1","AT1G07040"
"AT1G07050_P2","AT1G07050"
"AT1G07050_c1","AT1G07050"
"AT1G07051.1","AT1G07051"
"AT1G07060_P2","AT1G07060"
"AT1G07060_P3","AT1G07060"
"AT1G07070_P1","AT1G07070"
"AT1G07080_P1","AT1G07080"
"AT1G07090_P1","AT1G07090"
"AT1G07100.1","AT1G07100"
"AT1G07110_P1","AT1G07110"
"AT1G07110_JS3","AT1G07110"
"AT1G07110_JS4","AT1G07110"
"AT1G07110_c2","AT1G07110"
"AT1G07110_ID6","AT1G07110"
"AT1G07110_ID15","AT1G07110"
"AT1G07119.1","AT1G07119"
"AT1G07120_P1","AT1G07120"
"AT1G07120_ID10","AT1G07120"
"AT1G07120_ID6","AT1G07120"
"AT1G07128.1","AT1G07128"
"AT1G07130.1","AT1G07130"
"AT1G07135_P1","AT1G07135"
"AT1G07135_s1","AT1G07135"
"AT1G07135_s2","AT1G07135"
"AT1G07140_P1","AT1G07140"
"AT1G07140_c1","AT1G07140"
"AT1G07150.2","AT1G07150"
"AT1G07150_P1","AT1G07150"
"AT1G07160_P1","AT1G07160"
"AT1G07170_P1","AT1G07170"
"AT1G07170.3","AT1G07170"
"AT1G07175_P1","AT1G07175"
"AT1G07180_P1","AT1G07180"
"AT1G07190.1","AT1G07190"
"AT1G07200_P2","AT1G07200"
"AT1G07200_s1","AT1G07200"
"AT1G07210_P1","AT1G07210"
"AT1G07220_ID2","AT1G07220"
"AT1G07220_P1","AT1G07220"
"AT1G07230_P1","AT1G07230"
"AT1G07230_ID2","AT1G07230"
"AT1G07240_P1","AT1G07240"
"AT1G07240_ID1","AT1G07240"
"AT1G07250.1","AT1G07250"
"AT1G07260_P1","AT1G07260"
"AT1G07270_P1","AT1G07270"
"AT1G07270_JC11","AT1G07270"
"AT1G07270_P2","AT1G07270"
"AT1G07270_ID2","AT1G07270"
"AT1G07280_P1","AT1G07280"
"AT1G07280_ID2","AT1G07280"
"AT1G07280.2","AT1G07280"
"AT1G07280_P4","AT1G07280"
"AT1G07280_P3","AT1G07280"
"AT1G07280_s1","AT1G07280"
"AT1G07290_P1","AT1G07290"
"AT1G07290_JC10","AT1G07290"
"AT1G07300_s1","AT1G07300"
"AT1G07300.1","AT1G07300"
"AT1G07310_P1","AT1G07310"
"AT1G07320_P1","AT1G07320"
"AT1G07320.2","AT1G07320"
"AT1G07320.4","AT1G07320"
"AT1G07330_P2","AT1G07330"
"AT1G07330_P1","AT1G07330"
"AT1G07340.1","AT1G07340"
"AT1G07350_P2","AT1G07350"
"AT1G07350_P1","AT1G07350"
"AT1G07350_P4","AT1G07350"
"AT1G07350_P5","AT1G07350"
"AT1G07350_JS3","AT1G07350"
"AT1G07350_JC5","AT1G07350"
"AT1G07350_JC6","AT1G07350"
"AT1G07350_s1","AT1G07350"
"AT1G07350_c1","AT1G07350"
"AT1G07360_P1","AT1G07360"
"AT1G07370_P1","AT1G07370"
"AT1G07380_JS2","AT1G07380"
"AT1G07380_JS4","AT1G07380"
"AT1G07380_JS5","AT1G07380"
"AT1G07390_P5","AT1G07390"
"AT1G07390_P4","AT1G07390"
"AT1G07390.3","AT1G07390"
"AT1G07390_P2","AT1G07390"
"AT1G07400_P1","AT1G07400"
"AT1G07410_P1","AT1G07410"
"AT1G07420_P1","AT1G07420"
"AT1G07420_s1","AT1G07420"
"AT1G07420_JS1","AT1G07420"
"AT1G07420_ID2","AT1G07420"
"AT1G07420_ID3","AT1G07420"
"AT1G07420.2","AT1G07420"
"AT1G07430_P1","AT1G07430"
"AT1G07440.2","AT1G07440"
"AT1G07440_ID2","AT1G07440"
"AT1G07440_JC7","AT1G07440"
"AT1G07440_P1","AT1G07440"
"AT1G07450_s1","AT1G07450"
"AT1G07450.1","AT1G07450"
"AT1G07450_ID2","AT1G07450"
"AT1G07450_c1","AT1G07450"
"AT1G07450_JC6","AT1G07450"
"AT1G07460_P2","AT1G07460"
"AT1G07470_P2","AT1G07470"
"AT1G07470_c1","AT1G07470"
"AT1G07470.1","AT1G07470"
"AT1G07470_ID6","AT1G07470"
"AT1G07470_ID7","AT1G07470"
"AT1G07473.1","AT1G07473"
"AT1G07476_P1","AT1G07476"
"AT1G07480.2","AT1G07480"
"AT1G07480_ID1","AT1G07480"
"AT1G07480_ID2","AT1G07480"
"AT1G07480_ID5","AT1G07480"
"AT1G07480_JC18","AT1G07480"
"AT1G07480_JC21","AT1G07480"
"AT1G07480_c1","AT1G07480"
"AT1G07480_P1","AT1G07480"
"AT1G07480_P3","AT1G07480"
"AT1G07485.1","AT1G07485"
"AT1G07485_ID1","AT1G07485"
"AT1G07490.1","AT1G07490"
"AT1G07500.1","AT1G07500"
"AT1G07500_ID1","AT1G07500"
"AT1G07510.1","AT1G07510"
"AT1G07510_JS7","AT1G07510"
"AT1G07520.1","AT1G07520"
"AT1G07530_P1","AT1G07530"
"AT1G07540_P1","AT1G07540"
"AT1G07550_P1","AT1G07550"
"AT1G07560.1","AT1G07560"
"AT1G07570_c1","AT1G07570"
"AT1G07570_JS1","AT1G07570"
"AT1G07570_P1","AT1G07570"
"AT1G07570_P2","AT1G07570"
"AT1G07570_P4","AT1G07570"
"AT1G07570_P3","AT1G07570"
"AT1G07570_P5","AT1G07570"
"AT1G07570.3","AT1G07570"
"AT1G07580.1","AT1G07580"
"AT1G07590_P1","AT1G07590"
"AT1G07600.1","AT1G07600"
"AT1G07600_ID1","AT1G07600"
"AT1G07610_P1","AT1G07610"
"AT1G07615_ID8","AT1G07615"
"AT1G07615_P1","AT1G07615"
"AT1G07620_P4","AT1G07620"
"AT1G07620_JS4","AT1G07620"
"AT1G07620_P2","AT1G07620"
"AT1G07620_P1","AT1G07620"
"AT1G07620_ID2","AT1G07620"
"AT1G07630_P1","AT1G07630"
"AT1G07630_JC3","AT1G07630"
"AT1G07640_P1","AT1G07640"
"AT1G07640_P3","AT1G07640"
"AT1G07640_P2","AT1G07640"
"AT1G07650.1","AT1G07650"
"AT1G07650_JC3","AT1G07650"
"AT1G07650_JC6","AT1G07650"
"AT1G07650_c1","AT1G07650"
"AT1G07650_c2","AT1G07650"
"AT1G07650_c3","AT1G07650"
"AT1G07650_P2","AT1G07650"
"AT1G07650_ID1","AT1G07650"
"AT1G07650_ID3","AT1G07650"
"AT1G07650_ID5","AT1G07650"
"AT1G07645.1","AT1G07645"
"AT1G07660_P1","AT1G07660"
"AT1G07660.2","AT1G07660"
"AT1G07670_P1","AT1G07670"
"AT1G07670_P2","AT1G07670"
"AT1G07680.1","AT1G07680"
"AT1G07690_P2","AT1G07690"
"AT1G07690_P3","AT1G07690"
"AT1G07690_P1","AT1G07690"
"AT1G07690_P4","AT1G07690"
"AT1G07700_P1","AT1G07700"
"AT1G07700_P2","AT1G07700"
"AT1G07700.3","AT1G07700"
"AT1G07700_s2","AT1G07700"
"AT1G07700.2","AT1G07700"
"AT1G07705_P2","AT1G07705"
"AT1G07705.1","AT1G07705"
"AT1G07705_ID2","AT1G07705"
"AT1G07702.1","AT1G07702"
"AT1G07710_P1","AT1G07710"
"AT1G07710_P2","AT1G07710"
"AT1G07720_P2","AT1G07720"
"AT1G07720_JC2","AT1G07720"
"AT1G07725.1","AT1G07725"
"AT1G07728_ID1","AT1G07728"
"AT1G07728_ID2","AT1G07728"
"AT1G07740.1","AT1G07740"
"AT1G07730.2","AT1G07730"
"AT1G07745_ID17","AT1G07745"
"AT1G07745_ID2","AT1G07745"
"AT1G07745_ID44","AT1G07745"
"AT1G07745_ID48","AT1G07745"
"AT1G07745_ID50","AT1G07745"
"AT1G07745_ID59","AT1G07745"
"AT1G07745_ID6","AT1G07745"
"AT1G07745_ID65","AT1G07745"
"AT1G07745_ID69","AT1G07745"
"AT1G07745_ID8","AT1G07745"
"AT1G07745_P4","AT1G07745"
"AT1G07745_P2","AT1G07745"
"AT1G07745_P3","AT1G07745"
"AT1G07745_P5","AT1G07745"
"AT1G07745_P1","AT1G07745"
"AT1G07747.1","AT1G07747"
"AT1G07750_P1","AT1G07750"
"AT1G07760.1","AT1G07760"
"AT1G07770_s1","AT1G07770"
"AT1G07770_P1","AT1G07770"
"AT1G07780_P5","AT1G07780"
"AT1G07780_P1","AT1G07780"
"AT1G07780_P2","AT1G07780"
"AT1G07780_JS1","AT1G07780"
"AT1G07780_JS4","AT1G07780"
"AT1G07780_P3","AT1G07780"
"AT1G07780_P6","AT1G07780"
"AT1G07780_P7","AT1G07780"
"AT1G07780_JC3","AT1G07780"
"AT1G07780_s2","AT1G07780"
"AT1G07780_P10","AT1G07780"
"AT1G07780_P8","AT1G07780"
"AT1G07780_P9","AT1G07780"
"AT1G07780_P11","AT1G07780"
"AT1G07780_P12","AT1G07780"
"AT1G07780.4","AT1G07780"
"AT1G07790_P1","AT1G07790"
"AT1G07795_P1","AT1G07795"
"AT1G07800.1","AT1G07800"
"AT1G07810_P1","AT1G07810"
"AT1G07820.2","AT1G07820"
"AT1G07820_ID1","AT1G07820"
"AT1G07830_JS1","AT1G07830"
"AT1G07830_P1","AT1G07830"
"AT1G07830_JS2","AT1G07830"
"AT1G07830_ID2","AT1G07830"
"AT1G07840.1","AT1G07840"
"AT1G07840.3","AT1G07840"
"AT1G07840.2","AT1G07840"
"AT1G07850.1","AT1G07850"
"AT1G07860.1","AT1G07860"
"AT1G07870.1","AT1G07870"
"AT1G07870_ID1","AT1G07870"
"AT1G07880_JC1","AT1G07880"
"AT1G07880.1","AT1G07880"
"AT1G07880_ID3","AT1G07880"
"AT1G07880_ID4","AT1G07880"
"AT1G07880_ID6","AT1G07880"
"AT1G07885_P2","AT1G07885"
"AT1G07890_P1","AT1G07890"
"AT1G07890_ID1","AT1G07890"
"AT1G07890.6","AT1G07890"
"AT1G07890.2","AT1G07890"
"AT1G07890.4","AT1G07890"
"AT1G07890.5","AT1G07890"
"AT1G07890.7","AT1G07890"
"AT1G07890_P5","AT1G07890"
"AT1G07890_P8","AT1G07890"
"AT1G07890.3","AT1G07890"
"AT1G07900.1","AT1G07900"
"AT1G07902_P1","AT1G07902"
"AT1G07910_P1","AT1G07910"
"AT1G07910_JC3","AT1G07910"
"AT1G07910_JC4","AT1G07910"
"AT1G07910_c1","AT1G07910"
"AT1G07910_P2","AT1G07910"
"AT1G07910_s1","AT1G07910"
"AT1G07910_c2","AT1G07910"
"AT1G07910_s2","AT1G07910"
"AT1G07920_P1","AT1G07920"
"AT1G07920_ID2","AT1G07920"
"AT1G07920_c1","AT1G07920"
"AT1G07920_c2","AT1G07920"
"AT1G07920_c3","AT1G07920"
"AT1G07930_P1","AT1G07930"
"AT1G07930.2","AT1G07930"
"AT1G07930_ID7","AT1G07930"
"AT1G07940_P3","AT1G07940"
"AT1G07940_P4","AT1G07940"
"AT1G07940_P2","AT1G07940"
"AT1G07940_JS3","AT1G07940"
"AT1G07940_s1","AT1G07940"
"AT1G07940_s2","AT1G07940"
"AT1G07940_P1","AT1G07940"
"AT1G07940_ID17","AT1G07940"
"AT1G07940_ID2","AT1G07940"
"AT1G07940_ID8","AT1G07940"
"AT1G07940_ID9","AT1G07940"
"AT1G07950_JS1","AT1G07950"
"AT1G07950_JS2","AT1G07950"
"AT1G07950.1","AT1G07950"
"AT1G07960_JS1","AT1G07960"
"AT1G07960_ID2","AT1G07960"
"AT1G07960_ID7","AT1G07960"
"AT1G07960_ID8","AT1G07960"
"AT1G07960_c1","AT1G07960"
"AT1G07960_JS7","AT1G07960"
"AT1G07960_JS8","AT1G07960"
"AT1G07960_P4","AT1G07960"
"AT1G07970.1","AT1G07970"
"AT1G07980_P2","AT1G07980"
"AT1G07980_P1","AT1G07980"
"AT1G07980_ID1","AT1G07980"
"AT1G07985_P1","AT1G07985"
"AT1G07990_P1","AT1G07990"
"AT1G07990_P2","AT1G07990"
"AT1G08000_P2","AT1G08000"
"AT1G08000.1","AT1G08000"
"AT1G08000_c1","AT1G08000"
"AT1G08005_P1","AT1G08005"
"AT1G08010_P1","AT1G08010"
"AT1G08010_P3","AT1G08010"
"AT1G08010_JC1","AT1G08010"
"AT1G08010_P2","AT1G08010"
"AT1G08010_ID1","AT1G08010"
"AT1G08030_JS1","AT1G08030"
"AT1G08030_JS3","AT1G08030"
"AT1G08030_JS4","AT1G08030"
"AT1G08030_JS9","AT1G08030"
"AT1G08030_JS10","AT1G08030"
"AT1G08030_s1","AT1G08030"
"AT1G08030_s2","AT1G08030"
"AT1G08030_P1","AT1G08030"
"AT1G08030_JC3","AT1G08030"
"AT1G08030_P2","AT1G08030"
"AT1G08030_ID17","AT1G08030"
"AT1G08030_ID20","AT1G08030"
"AT1G08030_ID21","AT1G08030"
"AT1G08030_ID25","AT1G08030"
"AT1G08030_ID26","AT1G08030"
"AT1G08032.1","AT1G08032"
"AT1G08035_P1","AT1G08035"
"AT1G08035_P2","AT1G08035"
"AT1G08035_P3","AT1G08035"
"AT1G08040_P1","AT1G08040"
"AT1G08040_JS1","AT1G08040"
"AT1G08040_P3","AT1G08040"
"AT1G08040_ID156","AT1G08040"
"AT1G08040_ID166","AT1G08040"
"AT1G08040_ID171","AT1G08040"
"AT1G08040_c1","AT1G08040"
"AT1G08040_ID157","AT1G08040"
"AT1G08040_ID167","AT1G08040"
"AT1G08040_ID168","AT1G08040"
"AT1G08040_ID177","AT1G08040"
"AT1G08040_P4","AT1G08040"
"AT1G08050_P1","AT1G08050"
"AT1G08060_P1","AT1G08060"
"AT1G08060.2","AT1G08060"
"AT1G08060_JC6","AT1G08060"
"AT1G08060_P3","AT1G08060"
"AT1G08065.1","AT1G08065"
"AT1G08070_s1","AT1G08070"
"AT1G08070_P1","AT1G08070"
"AT1G08080_P1","AT1G08080"
"AT1G08090_P1","AT1G08090"
"AT1G08100.1","AT1G08100"
"AT1G08105.1","AT1G08105"
"AT1G08110_P1","AT1G08110"
"AT1G08110_P3","AT1G08110"
"AT1G08110_s1","AT1G08110"
"AT1G08110_JS1","AT1G08110"
"AT1G08110_JS2","AT1G08110"
"AT1G08110_ID1","AT1G08110"
"AT1G08110_P2","AT1G08110"
"AT1G08110_P4","AT1G08110"
"AT1G08115.1","AT1G08115"
"AT1G08120.1","AT1G08120"
"AT1G08125.2","AT1G08125"
"AT1G08125.3","AT1G08125"
"AT1G08125_ID14","AT1G08125"
"AT1G08125_ID16","AT1G08125"
"AT1G08125_ID18","AT1G08125"
"AT1G08125_P1","AT1G08125"
"AT1G08125_P4","AT1G08125"
"AT1G08130_P1","AT1G08130"
"AT1G08135_P1","AT1G08135"
"AT1G08140_P1","AT1G08140"
"AT1G08150_P1","AT1G08150"
"AT1G08160_P1","AT1G08160"
"AT1G08165_P1","AT1G08165"
"AT1G08170_P1","AT1G08170"
"AT1G08180_P1","AT1G08180"
"AT1G08190_P1","AT1G08190"
"AT1G08190_s2","AT1G08190"
"AT1G08190_ID2","AT1G08190"
"AT1G08200_P1","AT1G08200"
"AT1G08200_c1","AT1G08200"
"AT1G08200_c2","AT1G08200"
"AT1G08200_ID8","AT1G08200"
"AT1G08210_s1","AT1G08210"
"AT1G08210_JS1","AT1G08210"
"AT1G08210_JS3","AT1G08210"
"AT1G08210_P2","AT1G08210"
"AT1G08210_P3","AT1G08210"
"AT1G08210_ID1","AT1G08210"
"AT1G08220_s1","AT1G08220"
"AT1G08220_c1","AT1G08220"
"AT1G08220_P1","AT1G08220"
"AT1G08220_P2","AT1G08220"
"AT1G08230_P3","AT1G08230"
"AT1G08230_c1","AT1G08230"
"AT1G08230_P2","AT1G08230"
"AT1G08230_P4","AT1G08230"
"AT1G08230_P5","AT1G08230"
"AT1G08230_P6","AT1G08230"
"AT1G08240.1","AT1G08240"
"AT1G08250_P1","AT1G08250"
"AT1G08260.1","AT1G08260"
"AT1G08270.2","AT1G08270"
"AT1G08270_ID1","AT1G08270"
"AT1G08270_ID2","AT1G08270"
"AT1G08270_ID4","AT1G08270"
"AT1G08280_P1","AT1G08280"
"AT1G08280_s1","AT1G08280"
"AT1G08290_P1","AT1G08290"
"AT1G08300.1","AT1G08300"
"AT1G08300_P2","AT1G08300"
"AT1G08300_P3","AT1G08300"
"AT1G08310_P3","AT1G08310"
"AT1G08310.1","AT1G08310"
"AT1G08310.2","AT1G08310"
"AT1G08310_ID1","AT1G08310"
"AT1G08310_ID3","AT1G08310"
"AT1G08310_ID4","AT1G08310"
"AT1G08315.1","AT1G08315"
"AT1G08320_P2","AT1G08320"
"AT1G08320_P4","AT1G08320"
"AT1G08320_P1","AT1G08320"
"AT1G08320_s2","AT1G08320"
"AT1G08320.3","AT1G08320"
"AT1G08340_P1","AT1G08340"
"AT1G08350.1","AT1G08350"
"AT1G08350_ID1","AT1G08350"
"AT1G08350_ID2","AT1G08350"
"AT1G08350_ID4","AT1G08350"
"AT1G08350.2","AT1G08350"
"AT1G08350_JS8","AT1G08350"
"AT1G08350_P4","AT1G08350"
"AT1G08360_P1","AT1G08360"
"AT1G08360_c1","AT1G08360"
"AT1G08360_JC3","AT1G08360"
"AT1G08370_P1","AT1G08370"
"AT1G08370_s1","AT1G08370"
"AT1G08380_P1","AT1G08380"
"AT1G08390_s1","AT1G08390"
"AT1G08390_P1","AT1G08390"
"AT1G08390_P2","AT1G08390"
"AT1G08400.1","AT1G08400"
"AT1G08410_P1","AT1G08410"
"AT1G08420_P1","AT1G08420"
"AT1G08420.2","AT1G08420"
"AT1G08420_JC2","AT1G08420"
"AT1G08420_c1","AT1G08420"
"AT1G08430_P1","AT1G08430"
"AT1G08430_c1","AT1G08430"
"AT1G08440_P1","AT1G08440"
"AT1G08450_JS1","AT1G08450"
"AT1G08450.3","AT1G08450"
"AT1G08450_ID3","AT1G08450"
"AT1G08450_ID8","AT1G08450"
"AT1G08450_P1","AT1G08450"
"AT1G08450.2","AT1G08450"
"AT1G08460_P1","AT1G08460"
"AT1G08460_P2","AT1G08460"
"AT1G08465_JC5","AT1G08465"
"AT1G08465_P1","AT1G08465"
"AT1G08470_P1","AT1G08470"
"AT1G08470_JS1","AT1G08470"
"AT1G08470_c1","AT1G08470"
"AT1G08470_ID1","AT1G08470"
"AT1G08480.1","AT1G08480"
"AT1G08490_JS1","AT1G08490"
"AT1G08490_ID3","AT1G08490"
"AT1G08490_c1","AT1G08490"
"AT1G08490_P1","AT1G08490"
"AT1G08500_P1","AT1G08500"
"AT1G08510_P1","AT1G08510"
"AT1G08510_JC1","AT1G08510"
"AT1G08510_c2","AT1G08510"
"AT1G08520_P1","AT1G08520"
"AT1G08520_ID3","AT1G08520"
"AT1G08520_ID5","AT1G08520"
"AT1G08520_JS5","AT1G08520"
"AT1G08520_JS6","AT1G08520"
"AT1G08530_c1","AT1G08530"
"AT1G08530_P2","AT1G08530"
"AT1G08530_P3","AT1G08530"
"AT1G08530_c2","AT1G08530"
"AT1G08530_JS1","AT1G08530"
"AT1G08530.1","AT1G08530"
"AT1G08540_P1","AT1G08540"
"AT1G08540_ID3","AT1G08540"
"AT1G08550.1","AT1G08550"
"AT1G08550_ID11","AT1G08550"
"AT1G08550_ID13","AT1G08550"
"AT1G08550_ID2","AT1G08550"
"AT1G08550_ID24","AT1G08550"
"AT1G08550_ID39","AT1G08550"
"AT1G08550_ID5","AT1G08550"
"AT1G08560_P1","AT1G08560"
"AT1G08560_JS1","AT1G08560"
"AT1G08570_P1","AT1G08570"
"AT1G08570_ID10","AT1G08570"
"AT1G08570_ID11","AT1G08570"
"AT1G08570_ID9","AT1G08570"
"AT1G08570_JC10","AT1G08570"
"AT1G08570_JC11","AT1G08570"
"AT1G08570_JC9","AT1G08570"
"AT1G08580_P1","AT1G08580"
"AT1G08590_P1","AT1G08590"
"AT1G08592.1","AT1G08592"
"AT1G08600_P3","AT1G08600"
"AT1G08600.1","AT1G08600"
"AT1G08600.2","AT1G08600"
"AT1G08600.4","AT1G08600"
"AT1G08610.1","AT1G08610"
"AT1G08610_ID1","AT1G08610"
"AT1G08620.2","AT1G08620"
"AT1G08620_P3","AT1G08620"
"AT1G08620_P4","AT1G08620"
"AT1G08620_JS4","AT1G08620"
"AT1G08620_ID3","AT1G08620"
"AT1G08620_ID4","AT1G08620"
"AT1G08630_JC3","AT1G08630"
"AT1G08630_s1","AT1G08630"
"AT1G08630_P1","AT1G08630"
"AT1G08630.4","AT1G08630"
"AT1G08630_P7","AT1G08630"
"AT1G08630.2","AT1G08630"
"AT1G08630.5","AT1G08630"
"AT1G08640_P1","AT1G08640"
"AT1G08640_ID2","AT1G08640"
"AT1G08640_JC4","AT1G08640"
"AT1G08640_JS4","AT1G08640"
"AT1G08640_c1","AT1G08640"
"AT1G08640_s1","AT1G08640"
"AT1G08645_P1","AT1G08645"
"AT1G08650_P1","AT1G08650"
"AT1G08650.2","AT1G08650"
"AT1G08660_s1","AT1G08660"
"AT1G08660_JS2","AT1G08660"
"AT1G08660_P1","AT1G08660"
"AT1G08660_P2","AT1G08660"
"AT1G08660_P3","AT1G08660"
"AT1G08660_ID12","AT1G08660"
"AT1G08660_ID3","AT1G08660"
"AT1G08660_ID5","AT1G08660"
"AT1G08660_ID7","AT1G08660"
"AT1G08670_P1","AT1G08670"
"AT1G08670_P2","AT1G08670"
"AT1G08680_c1","AT1G08680"
"AT1G08680_c2","AT1G08680"
"AT1G08680_s1","AT1G08680"
"AT1G08680_P1","AT1G08680"
"AT1G08680_JC2","AT1G08680"
"AT1G08680.2","AT1G08680"
"AT1G08680.3","AT1G08680"
"AT1G08680_P5","AT1G08680"
"AT1G08680_ID11","AT1G08680"
"AT1G08680_ID17","AT1G08680"
"AT1G08680_ID20","AT1G08680"
"AT1G08680_ID21","AT1G08680"
"AT1G08680_ID23","AT1G08680"
"AT1G08680_ID27","AT1G08680"
"AT1G08680_ID3","AT1G08680"
"AT1G08680_ID41","AT1G08680"
"AT1G08680_ID47","AT1G08680"
"AT1G08680_c3","AT1G08680"
"AT1G08695.1","AT1G08695"
"AT1G08700_P1","AT1G08700"
"AT1G08710_P1","AT1G08710"
"AT1G08710_P2","AT1G08710"
"AT1G08710_ID4","AT1G08710"
"AT1G08710_ID7","AT1G08710"
"AT1G08720_P1","AT1G08720"
"AT1G08720_P2","AT1G08720"
"AT1G08720_JS1","AT1G08720"
"AT1G08720_JS2","AT1G08720"
"AT1G08720_JS4","AT1G08720"
"AT1G08730_P2","AT1G08730"
"AT1G08730.1","AT1G08730"
"AT1G08735.1","AT1G08735"
"AT1G08740.1","AT1G08740"
"AT1G08750_P1","AT1G08750"
"AT1G08750_P3","AT1G08750"
"AT1G08750_ID3","AT1G08750"
"AT1G08750_JC11","AT1G08750"
"AT1G08750_c1","AT1G08750"
"AT1G08750_c2","AT1G08750"
"AT1G08750_c3","AT1G08750"
"AT1G08750.2","AT1G08750"
"AT1G08760_P1","AT1G08760"
"AT1G08760_c1","AT1G08760"
"AT1G08760_JS1","AT1G08760"
"AT1G08770_P1","AT1G08770"
"AT1G08780_ID4","AT1G08780"
"AT1G08780_P1","AT1G08780"
"AT1G08790_P1","AT1G08790"
"AT1G08800_P1","AT1G08800"
"AT1G08800_P2","AT1G08800"
"AT1G08800_JS1","AT1G08800"
"AT1G08800_c1","AT1G08800"
"AT1G08800_P3","AT1G08800"
"AT1G08800_P4","AT1G08800"
"AT1G08810_ID1","AT1G08810"
"AT1G08810_P1","AT1G08810"
"AT1G08810_P2","AT1G08810"
"AT1G08820_P2","AT1G08820"
"AT1G08820_P3","AT1G08820"
"AT1G08820_P4","AT1G08820"
"AT1G08820_P5","AT1G08820"
"AT1G08820_JS1","AT1G08820"
"AT1G08820_s2","AT1G08820"
"AT1G08820_c2","AT1G08820"
"AT1G08820.1","AT1G08820"
"AT1G08830_P1","AT1G08830"
"AT1G08830.2","AT1G08830"
"AT1G08840.2","AT1G08840"
"AT1G08840_P3","AT1G08840"
"AT1G08840_P4","AT1G08840"
"AT1G08840_P1","AT1G08840"
"AT1G08840_P5","AT1G08840"
"AT1G08845.2","AT1G08845"
"AT1G08845_P1","AT1G08845"
"AT1G08845_ID2","AT1G08845"
"AT1G08845_ID3","AT1G08845"
"AT1G08860_P1","AT1G08860"
"AT1G08870.1","AT1G08870"
"AT1G08880_P1","AT1G08880"
"AT1G08890_P1","AT1G08890"
"AT1G08890_JS3","AT1G08890"
"AT1G08890_JS4","AT1G08890"
"AT1G08890_c3","AT1G08890"
"AT1G08890_JS5","AT1G08890"
"AT1G08890_ID13","AT1G08890"
"AT1G08890_ID14","AT1G08890"
"AT1G08890_ID15","AT1G08890"
"AT1G08890_ID16","AT1G08890"
"AT1G08890_ID9","AT1G08890"
"AT1G08900_P2","AT1G08900"
"AT1G08900_P4","AT1G08900"
"AT1G08900.1","AT1G08900"
"AT1G08900_ID19","AT1G08900"
"AT1G08900_ID21","AT1G08900"
"AT1G08900_ID25","AT1G08900"
"AT1G08900_JC24","AT1G08900"
"AT1G08900_P5","AT1G08900"
"AT1G08900_P3","AT1G08900"
"AT1G08910_c1","AT1G08910"
"AT1G08910_c2","AT1G08910"
"AT1G08910_c3","AT1G08910"
"AT1G08910_s1","AT1G08910"
"AT1G08910_s2","AT1G08910"
"AT1G08910_s3","AT1G08910"
"AT1G08910_s5","AT1G08910"
"AT1G08910_s6","AT1G08910"
"AT1G08910_P1","AT1G08910"
"AT1G08910_c4","AT1G08910"
"AT1G08910_c5","AT1G08910"
"AT1G08910_JS1","AT1G08910"
"AT1G08910_JS2","AT1G08910"
"AT1G08910_JS4","AT1G08910"
"AT1G08910_ID6","AT1G08910"
"AT1G08910_JS14","AT1G08910"
"AT1G08920_P1","AT1G08920"
"AT1G08920.2","AT1G08920"
"AT1G08920_ID12","AT1G08920"
"AT1G08920.3","AT1G08920"
